ID,Category,Category Description,Product Name,Description,Size,Price,Photo File Name,WhatsApp Link
1,Cooking Oils & Ghee,"Wood pressed and cold pressed cooking oils, made on a traditional lakdi ghani (also called marachekku or chekku) at low temperature, so the aroma and nutrients survive. Unrefined, unfiltered and never blended.",Groundnut Wood Pressed Oil,"Traditional lakdi ghani groundnut oil, also known as marachekku or chekku oil, with a rich nutty aroma. Ideal for everyday Indian cooking and deep frying.",950 ml,480,Groundnut-Wood-Pressed-Oil,https://wa.me/p/8113181328718023/919820175000
2,Cooking Oils & Ghee,,White Sesame Wood Pressed Oil,"Cold extracted white sesame (til) oil, pressed on a wooden ghani. Light and versatile, traditionally used for cooking, oil pulling and abhyanga massage.",950 ml,720,White-Sesame-Wood-Pressed-Oil,https://wa.me/p/26580553651589156/919820175000
3,Cooking Oils & Ghee,,Black Sesame Wood Pressed Oil,Robust black sesame oil pressed on a wooden lakdi ghani. Deeply aromatic and naturally rich in antioxidants.,950 ml,720,Black-Sesame-Wood-Pressed-Oil,https://wa.me/p/8156676044382192/919820175000
4,Cooking Oils & Ghee,,Coconut Wood Pressed Oil,"Unrefined wood pressed coconut oil with a natural sweet aroma. Solidifies below 24°C, which is normal. Suitable for cooking, hair and skin.",950 ml,720,Coconut-Wood-Pressed-Oil,https://wa.me/p/8589922877727151/919820175000
5,Cooking Oils & Ghee,,Almond Wood Pressed Oil,"Pure wood pressed almond oil. Light and nutrient dense, used both in the kitchen and for skin and hair care.",100 ml,500,Almond-Wood-Pressed-oil,https://wa.me/919820175000
6,Cooking Oils & Ghee,,Black Mustard Cold Pressed Oil,"Sharp, pungent kachi ghani black mustard oil, cold pressed on a wooden ghani. A staple of Bengali, Bihari and North Indian kitchens.",950 ml,670,Black-Mustard-Cold-Pressed-Oil,https://wa.me/p/8418987268122354/919820175000
7,Cooking Oils & Ghee,,Yellow Mustard Cold Pressed Oil,"Kachi ghani yellow mustard oil, milder than black mustard with a clean golden colour. Great for tempering, pickling and everyday cooking.",950 ml,670,Yellow-Mustard-Cold-Pressed-Oil,https://wa.me/p/8973024049380406/919820175000
8,Cooking Oils & Ghee,,Extra Virgin Olive Oil (Cold Pressed),"First press extra virgin olive oil. Best used raw over salads, dips and finished dishes.",950 ml,2000,Extra-Virigin-Olive-Oil,https://wa.me/p/9156025557857378/919820175000
9,Cooking Oils & Ghee,,Sunflower Wood Pressed Oil,"Light, neutral tasting wood pressed sunflower oil. A everyday all rounder that does not mask flavours.",950 ml,670,Sunflower-Oil,https://wa.me/p/27010613461857199/919820175000
10,Cooking Oils & Ghee,,Safflower Wood Pressed Oil,"Traditional kardi oil, wood pressed and unrefined. Light bodied with a clean finish.",950 ml,670,Safflower-Oil,https://wa.me/p/27093054486959699/919820175000
